Code;Area;Number of Individuals;Mean ?;Median ?
E09000001;City of London;11000;148000;60000
E09000002;Barking and Dagenham;85000;27400;23900
E09000003;Barnet;188000;49500;28700
E09000004;Bexley;122000;33500;26900
E09000005;Brent;155000;35400;24700
E09000006;Bromley;174000;45500;32000
E09000007;Camden;101000;92600;37300
E09000008;Croydon;183000;35600;27500
E09000009;Ealing;170000;39700;26700
E09000010;Enfield;144000;36200;26300
E09000011;Greenwich;124000;40200;27600
E09000012;Hackney;112000;43100;29400
E09000013;Hammersmith and Fulham;94000;73200;33200
E09000014;Haringey;138000;43800;27100
E09000015;Harrow;129000;39000;27600
E09000016;Havering;130000;35700;27900
E09000017;Hillingdon;142000;35900;27100
E09000018;Hounslow;135000;40300;26400
E09000019;Islington;106000;62100;33400
E09000020;Kensington and Chelsea;68000;177000;40400
E09000021;Kingston-upon-Thames;79000;48700;32400
E09000022;Lambeth;162000;45600;29900
E09000023;Lewisham;140000;36800;27300
E09000024;Merton;111000;54600;30200
E09000025;Newham;141000;30000;24100
E09000026;Redbridge;136000;37100;28000
E09000027;Richmond-upon-Thames;108000;69000;36100
E09000028;Southwark;146000;48600;29400
E09000029;Sutton;103000;36900;28200
E09000030;Tower Hamlets;136000;46600;30200
E09000031;Waltham Forest;138000;31900;25500
E09000032;Wandsworth;171000;67900;34500
E09000033;Westminster;98000;124000;39700
